PLCNext-Station1.Conso_Kwh,1685023539,96.39
PLCNext-Station1.Conso_Lh,1685023539,19.35
PLCNext-Station2.Conso_Kwh,1685023539,56.94
PLCNext-Station2.Conso_Lh,1685023539,21.05
PLCNext-Station3.Conso_Kwh,1685023539,72.8
PLCNext-Station3.Conso_Lh,1685023539,24.47
PLCNext-Station4.Conso_Kwh,1685023539,93.29
PLCNext-Station4.Conso_Lh,1685023539,16.88
PLCNext-Station5.Conso_Kwh,1685023539,97.67
PLCNext-Station5.Conso_Lh,1685023539,26.31
PLCNext-Station6.Conso_Kwh,1685023539,83.98
PLCNext-Station6.Conso_Lh,1685023539,15.44
PLCNext-Station7.Conso_Kwh,1685023539,62.23
PLCNext-Station7.Conso_Lh,1685023539,16.35
