PLCNext-Station1.Conso_Kwh,1685031256,76.52
PLCNext-Station1.Conso_Lh,1685031256,24.49
PLCNext-Station2.Conso_Kwh,1685031256,71.83
PLCNext-Station2.Conso_Lh,1685031256,23.55
PLCNext-Station3.Conso_Kwh,1685031256,57.19
PLCNext-Station3.Conso_Lh,1685031256,16.38
PLCNext-Station4.Conso_Kwh,1685031256,53.48
PLCNext-Station4.Conso_Lh,1685031256,14.76
PLCNext-Station5.Conso_Kwh,1685031256,77.95
PLCNext-Station5.Conso_Lh,1685031256,11.48
PLCNext-Station6.Conso_Kwh,1685031256,55.11
PLCNext-Station6.Conso_Lh,1685031256,12.08
PLCNext-Station7.Conso_Kwh,1685031256,92.95
PLCNext-Station7.Conso_Lh,1685031256,14.84
