PLCNext-Station1.Conso_Kwh,1685030315,82.77
PLCNext-Station1.Conso_Lh,1685030315,21.3
PLCNext-Station2.Conso_Kwh,1685030315,56.16
PLCNext-Station2.Conso_Lh,1685030315,17.86
PLCNext-Station3.Conso_Kwh,1685030315,56.44
PLCNext-Station3.Conso_Lh,1685030315,18.69
PLCNext-Station4.Conso_Kwh,1685030315,52.95
PLCNext-Station4.Conso_Lh,1685030315,17.5
PLCNext-Station5.Conso_Kwh,1685030315,66.7
PLCNext-Station5.Conso_Lh,1685030315,20.95
PLCNext-Station6.Conso_Kwh,1685030315,64.6
PLCNext-Station6.Conso_Lh,1685030315,13.26
PLCNext-Station7.Conso_Kwh,1685030315,78.6
PLCNext-Station7.Conso_Lh,1685030315,28.95
